Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
cancelar atendimento,serviço y,serviço y disponível em o unidade,Encaminhamento,cancelar atendimento,b-tempo b-atendimento,confuso,encaminhamento
cancelar atendimento,agendamento,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-doc b-tempo,urgente,encaminhamento
haver cadastrar presencial,serviço y,caso emergência dirijar se a o atendimento presencial,Emergência,haver cadastrar presencial,b-atendimento,confuso,emergência
obter informação atendimento,serviço y,contato por o xx xxxx-xxxx,Informações,obter informação atendimento,b-atendimento b-tempo b-doc b-atendimento,frustrar,informação
cancelar atendimento,serviço y,serviço y levar documento b.,Informações,cancelar atendimento,b-serviço b-atendimento,neutro,informação
caso emergência,cancelamento,encontrar informação cancelamento site,Emergência,caso emergência,b-doc b-atendimento b-doc,urgente,emergência
cadastrar atendimento,serviço x,contato por o xx xxxx-xxxx,Informações,cadastrar atendimento,b-serviço b-tempo b-doc,neutro,informação
horário consultar,serviço x,cancelar contato por o portal,Encaminhamento,horário consultar,b-doc b-serviço,neutro,encaminhamento
caso emergência,serviço y,atendimento presencial,Documentação,caso emergência,b-serviço b-serviço b-doc,urgente,documentação
horário solicitar,cancelamento,precisar ajuda atendente a o disposição,Documentação,horário solicitar,b-tempo b-serviço,neutro,documentação
cancelar atendimento,serviço x,horário serviço x 8h a o 18h,Emergência,cancelar atendimento,b-doc b-atendimento,neutro,emergência
obter informação cadastrar,agendamento,caso emergência dirijar se a o atendimento presencial,Emergência,obter informação cadastrar,b-atendimento b-atendimento,urgente,emergência
preciso ajuda verificar,informação,contato por o xx xxxx-xxxx,Encaminhamento,preciso ajudar verificar,b-tempo b-doc,neutro,encaminhamento
haver verificar presencial,informação,atendimento presencial,Informações,haver verificar presencial,b-atendimento,neutro,informação
cancelar atendimento,agendamento,agendamento disponível em o unidade,Encaminhamento,cancelar atendimento,b-doc b-serviço,frustrar,encaminhamento
obter informação consultar,contato,cancelar contato por o portal,Informações,obter informação consultar,b-serviço b-atendimento,frustrar,informação
haver obter informação presencial,agendamento,encontrar informação agendamento site,Encaminhamento,haver obter informação presencial,b-atendimento b-serviço,frustrar,encaminhamento
horário agendar,contato,horário contato 8h a o 18h,Cancelamento,horário agendar,b-doc b-atendimento,neutro,cancelamento
caso emergência,serviço y,serviço y disponível em o unidade,Encaminhamento,caso emergência,b-tempo b-atendimento b-tempo,urgente,encaminhamento
cancelar atendimento,agendamento,encontrar informação agendamento site,Encaminhamento,cancelar atendimento,b-atendimento b-atendimento,neutro,encaminhamento
haver verificar presencial,cancelamento,cancelamento acer portal serviço,Encaminhamento,haver verificar presencial,b-doc,neutro,encaminhamento
horário consultar,emergência,encontrar informação emergência site,Emergência,horário consultar,b-atendimento b-serviço,neutro,emergência
preciso ajuda obter informação,serviço y,contato por o xx xxxx-xxxx,Encaminhamento,preciso ajudar obter informação,b-tempo b-serviço b-serviço,neutro,encaminhamento
preciso ajuda obter informação,serviço y,encontrar informação serviço y site,Contato,preciso ajudar obter informação,b-tempo b-serviço b-atendimento,confuso,contato
documento necessário obter informação,informação,encontrar informação informação site,Encaminhamento,documento necessário obter informação,b-doc b-atendimento b-doc b-serviço,confuso,encaminhamento
documento necessário consultar,agendamento,horário agendamento 8h a o 18h,Informações,documento necessário consultar,b-atendimento b-tempo b-serviço,neutro,informação
haver obter informação presencial,agendamento,agendamento acer portal serviço,Encaminhamento,haver obter informação presencial,b-atendimento b-serviço,confuso,encaminhamento
obter informação cadastrar,serviço y,precisar ajuda atendente a o disposição,Cancelamento,obter informação cadastrar,b-doc b-doc,neutro,cancelamento
preciso ajuda consultar,emergência,emergência acer portal serviço,Contato,preciso ajudar consultar,b-serviço b-atendimento,confuso,contato
preciso ajuda agendar,contato,caso emergência dirijar se a o atendimento presencial,Emergência,preciso ajudar agendar,b-serviço b-atendimento,confuso,emergência
documento necessário cadastrar,encaminhamento,encaminhamento disponível em o unidade,Encaminhamento,documento necessário cadastrar,b-atendimento b-doc b-doc,neutro,encaminhamento
caso emergência,emergência,caso emergência dirijar se a o atendimento presencial,Emergência,caso emergência,b-atendimento b-serviço b-tempo,frustrar,emergência
haver agendar presencial,contato,contato acer portal serviço,Encaminhamento,haver agendar presencial,b-atendimento,frustrar,encaminhamento
cancelar atendimento,serviço x,encontrar informação serviço x site,Emergência,cancelar atendimento,b-tempo b-doc,urgente,emergência
encontrar informação agendar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Documentação,encontrar informação agendar,b-doc b-atendimento b-tempo,neutro,documentação
encontrar informação obter informação,emergência,atendimento presencial,Informações,encontrar informação obter informação,b-tempo b-serviço b-tempo b-tempo,neutro,informação
horário obter informação,serviço x,serviço x levar documento b.,Encaminhamento,horário obter informação,b-tempo b-doc b-doc,urgente,encaminhamento
agendar atendimento,agendamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,agendar atendimento,b-doc b-serviço b-tempo,neutro,cancelamento
cancelar atendimento,contato,contato por o xx xxxx-xxxx,Encaminhamento,cancelar atendimento,b-doc b-atendimento,neutro,encaminhamento
haver consultar presencial,encaminhamento,cancelar contato por o portal,Contato,haver consultar presencial,b-atendimento,neutro,contato
horário consultar,cancelamento,caso emergência dirijar se a o atendimento presencial,Emergência,horário consultar,b-doc b-tempo,urgente,emergência
obter informação obter informação,serviço x,precisar ajuda atendente a o disposição,Emergência,obter informação obter informação,b-serviço b-serviço b-doc,neutro,emergência
documento necessário cadastrar,informação,informação disponível em o unidade,Informações,documento necessário cadastrar,b-tempo b-doc b-doc,frustrar,informação
haver solicitar presencial,emergência,cancelar contato por o portal,Informações,haver solicitar presencial,b-serviço,frustrar,informação
encontrar informação obter informação,informação,horário informação 8h a o 18h,Documentação,encontrar informação obter informação,b-doc b-atendimento b-atendimento b-doc,urgente,documentação
haver cadastrar presencial,encaminhamento,encaminhamento acer portal serviço,Contato,haver cadastrar presencial,b-serviço,confuso,contato
documento necessário consultar,cancelamento,precisar ajuda atendente a o disposição,Contato,documento necessário consultar,b-atendimento b-tempo b-atendimento,neutro,contato
preciso ajuda agendar,serviço y,atendimento presencial,Informações,preciso ajudar agendar,b-atendimento b-tempo,frustrar,informação
caso emergência,emergência,emergência disponível em o unidade,Documentação,caso emergência,b-atendimento b-tempo b-atendimento,neutro,documentação
agendar atendimento,informação,informação acer portal serviço,Encaminhamento,agendar atendimento,b-doc b-atendimento b-doc,frustrar,encaminhamento
encontrar informação cadastrar,encaminhamento,encaminhamento acer portal serviço,Informações,encontrar informação cadastrar,b-atendimento b-tempo b-tempo,urgente,informação
caso emergência,serviço x,horário serviço x 8h a o 18h,Informações,caso emergência,b-atendimento b-doc b-tempo,neutro,informação
documento necessário obter informação,contato,caso emergência dirijar se a o atendimento presencial,Informações,documento necessário obter informação,b-doc b-doc b-doc b-tempo,confuso,informação
obter informação verificar,agendamento,agendamento acer portal serviço,Encaminhamento,obter informação verificar,b-serviço b-tempo,frustrar,encaminhamento
telefone cadastrar,cancelamento,cancelamento levar documento b.,Documentação,telefone cadastrar,b-atendimento b-serviço,neutro,documentação
obter informação agendar,serviço y,serviço y levar documento b.,Encaminhamento,obter informação agendar,b-doc b-atendimento,neutro,encaminhamento
obter informação obter informação,cancelamento,cancelamento levar documento b.,Emergência,obter informação obter informação,b-doc b-doc b-serviço,confuso,emergência
obter informação atendimento,contato,caso emergência dirijar se a o atendimento presencial,Documentação,obter informação atendimento,b-serviço b-atendimento b-serviço b-tempo,urgente,documentação
consultar atendimento,contato,caso emergência dirijar se a o atendimento presencial,Informações,consultar atendimento,b-tempo b-serviço b-doc,neutro,informação
encontrar informação agendar,serviço y,serviço y acer portal serviço,Cancelamento,encontrar informação agendar,b-tempo b-serviço b-atendimento,confuso,cancelamento
caso emergência,emergência,horário emergência 8h a o 18h,Contato,caso emergência,b-atendimento b-atendimento b-doc,urgente,contato
horário cadastrar,cancelamento,cancelamento levar documento b.,Encaminhamento,horário cadastrar,b-serviço b-doc,neutro,encaminhamento
horário solicitar,serviço y,caso emergência dirijar se a o atendimento presencial,Informações,horário solicitar,b-atendimento b-atendimento,frustrar,informação
documento necessário consultar,contato,contato por o xx xxxx-xxxx,Contato,documento necessário consultar,b-serviço b-doc b-serviço,neutro,contato
preciso ajuda cadastrar,contato,contato por o xx xxxx-xxxx,Informações,preciso ajudar cadastrar,b-tempo b-tempo,urgente,informação
caso emergência,contato,precisar ajuda atendente a o disposição,Encaminhamento,caso emergência,b-tempo b-tempo b-atendimento,neutro,encaminhamento
preciso ajuda verificar,contato,atendimento presencial,Documentação,preciso ajudar verificar,b-atendimento b-serviço,confuso,documentação
verificar atendimento,informação,informação acer portal serviço,Cancelamento,verificar atendimento,b-serviço b-serviço b-serviço,frustrar,cancelamento
preciso ajuda verificar,informação,contato por o xx xxxx-xxxx,Documentação,preciso ajudar verificar,b-serviço b-atendimento,neutro,documentação
caso emergência,cancelamento,horário cancelamento 8h a o 18h,Informações,caso emergência,b-serviço b-doc b-tempo,neutro,informação
